Name,#,Sample_ID,Level,Species,Organ,Tree_ID,id.ext.ss,id.ext.starch,Daum,Weight_mg,Box_HPLC,Box_14C,Results_file_14C,Box_d13C,Glucose,Sucrose,Fructose,Starch,Total_sugars,Total_NSC,TOC_sugars_extraction,Bulk_d13C_permil,Water_soluble_d13C_permil,Starch_d13C_permil,Lipids_d13C_permil,Respired_d13C_permil,Respired_D14C,Sugars_D14C_permil,Starch_D14C_permil,Cellulose_D14C_permil,d15N_bulk,Cellulose_mg,N,C%,N%,C/N,CO2_efflux_flasks,CO2_efflux_Cozir,CO2_norm,Elevation,Shoot_root
B.Hilman,21,H.Larix.B.3,High,Larix decidua,Branch wood,3,H.Larix.B.3_A,H.Larix.B.3_E,,50.52,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.7,4.4,0.6,1.2,5.7,6.8,9.889,,-29.25,-27.91,-29.05,-27.27,-2.22,8,7.55,13.2,1.04552715203436,,0.748458729679242,49.6292953491211,0.728498518466949,68.13,1.95671156086806,0.215735184919113,1.98781180118576,2200,Shoot
B.Hilman,22,H.Larix.B.4,High,Larix decidua,Branch wood,4,H.Larix.B.4_A,H.Larix.B.4_E,,51.01,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,1.0,4.7,0.8,0.8,6.5,7.3,8.960,-27.79,-28.92,-27.84,empty ,-27.75,1.97,8.3,18.25,9.3,0.342517051379278,,0.194538845113118,49.459400177002,0.366750657558441,134.86,1.80128882504022,0.153601687082842,1.76613048821502,2200,Shoot
B.Hilman,23,H.Larix.B.5,High,Larix decidua,Branch wood,5,H.Larix.B.5_A,H.Larix.B.5_E,,50.94,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,1.2,5.0,0.5,0.7,6.7,7.4,9.964,-28.33,-28.49,-27.58,-29.33,-29.11,0.04,5.2,10.6,3.2,-2.22791714045537,,0.402863278576577,49.1127166748047,0.401120603084564,122.44,1.86294705119514,0.197798972822159,1.80510971801679,2200,Shoot
B.Hilman,24,M.Larix.B.6,Middle,Larix decidua,Branch wood,6,M.Larix.B.6_A,M.Larix.B.6_E,,51.06,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.4,3.9,0.4,0.6,4.8,5.4,6.878,-28.46,-28.34,-27.16,-29.99,-30.88,-8.84,11.8,4.8,13.1,1.21965863111741,,0.361255994057756,48.4939384460449,0.346100866794586,140.12,0.936000320368729,0.0993661678288484,0.885740309753794,2080,Shoot
B.Hilman,25,M.Larix.B.7,Middle,Larix decidua,Branch wood,7,M.Larix.B.7_A,M.Larix.B.7_E,,50.94,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.4,3.5,0.3,0.7,4.1,4.9,7.633,-28.55,-28.69,-27.57,-29.73,-28.47,0.45,1.8,13.05,23.8,-2.06265197081452,,0.353728297417088,48.8743171691895,0.357078939676285,136.87,1.10168289396264,0.10655865188085,1.01815603077043,2080,Shoot
B.Hilman,26,M.Larix.B.8,Middle,Larix decidua,Branch wood,8,M.Larix.B.8_A,M.Larix.B.8_E,,50.71,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.4,3.3,0.4,0.9,4.1,5.0,7.386,-27.65,-28.77,-27.31,-29.37,-29.11,-11.89,16.3,18.8,19.1,-1.85903549180764,,0.437429293356906,47.9531097412109,0.427486926317215,112.17,1.22730778876101,0.114442201668324,1.14323483473981,2080,Shoot
B.Hilman,27,M.Larix.B.9,Middle,Larix decidua,Branch wood,9,M.Larix.B.9_A,M.Larix.B.9_E,,50.55,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.6,4.4,0.7,0.7,5.7,6.3,8.716,-27.86,-28.92,-27.86,-28.14,-27.85,8.34,8,-2.5,20.2,-2.06531624278264,,0.367481873878411,49.0298004150391,0.357905566692352,136.99,0.90838176463184,0.133684215041671,0.885051329690729,2080,Shoot
B.Hilman,28,M.Larix.B.10,Middle,Larix decidua,Branch wood,10,M.Larix.B.10_A,M.Larix.B.10_E,,50.31,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.3,2.1,0.2,0.7,2.6,3.3,5.973,-30.20,-31.45,-30.36,-27.66,-31.75,6.40,13.3,6.95,15.5,-5.06681530466006,,0.268106294604792,48.3544540405273,0.23727111518383,203.79,1.35235833791998,0.16847266031055,1.32074538724922,2080,Shoot
B.Hilman,29,L.Larix.B.11,Low,Larix decidua,Branch wood,11,L.Larix.B.11_A,L.Larix.B.11_E,,49.57,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.6,2.2,0.3,0.8,3.2,3.9,7.850,-29.55,-31.82,-31.05,-31.13,-31.16,8.29,13.3,11.45,21.5,-3.17957017816611,,0.305958976680846,49.0842475891113,0.276478797197342,177.53,1.20747420201988,0.230825243333143,1.13187691097346,2000,Shoot
B.Hilman,30,L.Larix.B.12,Low,Larix decidua,Branch wood,12,L.Larix.B.12_A,L.Larix.B.12_E,,51.72,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.3,2.6,0.2,0.6,3.1,3.7,8.816,-28.21,-28.36,-27.89,,-28.79,-6.98,8.9,18.3,18.4,0.710812922233884,,0.413724506585748,50.0778656005859,0.400590807199478,125.01,1.4759078052971,0.168125381228919,1.38678085590463,2000,Shoot
